Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,TPE,FPE,LS_AVG_TPE,LS_AVG_FPE
APD,Air Products & Chemicals,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",22.501976,15.4281845,28.72323929411764,27.590495445454543
APH,Amphenol,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",32.02066,12.183962,68.48093710612245,30.882851198387105
APTV,Aptiv,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",16.805723,15.329646,68.48093710612245,30.882851198387105
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",35.938835,28.361029,28.72323929411764,27.590495445454543
ATO,Atmos Energy,reports,Utilities,Gas Utilities,"Dallas, Texas",0,34.061424,68.48093710612245,30.882851198387105
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",11.958396,10.55207,28.72323929411764,27.590495445454543
AVB,AvalonBay Communities,reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",0,10.276786,68.48093710612245,30.882851198387105
AVGO,Broadcom,reports,Information Technology,Semiconductors,"San Jose, California",9.564946,8.852944,68.48093710612245,30.882851198387105
AVY,Avery Dennison,reports,Materials,Paper Packaging,"Glendale, California",334.8493,18.97826,68.48093710612245,30.882851198387105
AWK,American Water Works,reports,Utilities,Water Utilities,"Camden, New Jersey",44.995903,20.802082,68.48093710612245,30.882851198387105
AXP,American Express,reports,Financials,Consumer Finance,"New York City, New York",8.640283,6.80935,68.48093710612245,30.882851198387105
AZO,AutoZone,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",29.325691,16.92218,68.48093710612245,30.882851198387105
BA,Boeing,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",57.278477,53.924465,68.48093710612245,30.882851198387105
BAC,Bank of America,reports,Financials,Diversified Banks,"Charlotte, North Carolina",20.983463,11.009132,68.48093710612245,30.882851198387105
BAX,Baxter International,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",0,250.55554,68.48093710612245,30.882851198387105
BBWI,"Bath & Body Works, Inc.",reports,Consumer Discretionary,Specialty Stores,"Columbus, Ohio",3.5834007,12.204437,68.48093710612245,30.882851198387105
BBY,Best Buy,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",14.340544,8.099148,68.48093710612245,30.882851198387105
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",0,52.318584,68.48093710612245,30.882851198387105
BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",22.145796,17.775127,20.526891708196725,16.406940241935484
BF.B,Brown–Forman,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",0,57.8277,68.48093710612245,30.882851198387105
BIIB,Biogen,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",41.397972,33.58537,68.48093710612245,30.882851198387105
BIO,Bio-Rad Laboratories,reports,Health Care,Life Sciences Tools & Services,"Hercules, California",35.515892,25.57367,68.48093710612245,30.882851198387105
BK,BNY Mellon,reports,Financials,Asset Management & Custody Banks,"New York City, New York",8.3886595,5.3306723,68.48093710612245,30.882851198387105
BKNG,Booking Holdings,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",21.227745,14.873388,68.48093710612245,30.882851198387105
BKR,Baker Hughes,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",8.752219,7.892286,68.48093710612245,30.882851198387105
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York City, New York",0,29.028814,68.48093710612245,30.882851198387105
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",28.128199,25.893097,68.48093710612245,30.882851198387105
BMY,Bristol Myers Squibb,reports,Health Care,Health Care Distributors,"New York City, New York",12.432591,12.5058975,68.48093710612245,30.882851198387105
BR,Broadridge Financial Solutions,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",22.333298,16.260393,68.48093710612245,30.882851198387105
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",362.29663,26.110344,68.48093710612245,30.882851198387105
BRO,Brown & Brown,reports,Financials,Insurance Brokers,"Daytona Beach, Florida",32.987427,26.242554,68.48093710612245,30.882851198387105
BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",0,0,68.48093710612245,30.882851198387105
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",129.03757,13.057007,68.48093710612245,30.882851198387105
BXP,Boston Properties,reports,Real Estate,Office REITs,"Boston, Massachusetts",0,32.455696,68.48093710612245,30.882851198387105
C,Citigroup,reports,Financials,Diversified Banks,"New York City, New York",26.44156,24.9052,27.775026000000004,19.6604199516129
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",21.25604,18.552826,2434.2089754,16.517298605555553
CAH,Cardinal Health,reports,Health Care,Health Care Distributors,"Dublin, Ohio",143.66995,26.526667,68.48093710612245,30.882851198387105
CARR,Carrier Global,reports,Industrials,Building Products,"Palm Beach Gardens, Florida",56.270405,48.463985,68.48093710612245,30.882851198387105
CAT,Caterpillar,reports,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",22.664999,21.211964,27.775026000000004,19.6604199516129
CB,Chubb,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",25.743704,23.532774,27.775026000000004,19.6604199516129
CBOE,Cboe Global Markets,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",32.754425,29.51163,27.775026000000004,19.6604199516129
CBRE,CBRE,reports,Real Estate,Real Estate Services,"Dallas, Texas",22.155302,18.746796,27.775026000000004,19.6604199516129
CCI,Crown Castle,reports,Real Estate,Specialized REITs,"Houston, Texas",0,15.449565,2434.2089754,16.517298605555553
CCL,Carnival Corporation,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",22.706633,8.883233,68.48093710612245,30.882851198387105
CDAY,Ceridian,reports,Information Technology,Application Software,"Minneapolis, Minnesota",25.793156,23.809065,27.775026000000004,19.6604199516129
CDNS,Cadence Design Systems,reports,Information Technology,Application Software,"San Jose, California",72.17055,40.478264,68.48093710612245,30.882851198387105
CDW,CDW,reports,Information Technology,Technology Distributors,"Lincolnshire, Illinois",31.809462,22.509237,27.775026000000004,19.6604199516129
