Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,TPE,FPE,LS_AVG_TPE,LS_AVG_FPE
HSIC,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",2015-03-17,1000228.0,1932,29.899311,16.243761,33.78049890425532,29.299340398305088
HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007-03-20,1070750.0,1993,71.57317,25.54207,431.98932496153844,27.61742757142857
HSY,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",1957-03-04,47111.0,1894,0.0,,61.171659148148166,25.609259525806454
HUM,Humana,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,49071.0,1961,35.115273,27.275581,33.78049890425532,29.299340398305088
HWM,Howmet Aerospace,reports,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",1964-03-31,4281.0,2016,52.54554,41.01806,53.80290897321429,24.52907978636364
IBM,IBM,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",1957-03-04,51143.0,1911,85.20077,133.17418,41.766440325,26.817563048484836
ICE,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26,1571949.0,2000,16.31891,18.667614,38.61327658999999,41.974477063333346
IDXX,Idexx Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",2017-01-05,874716.0,1983,10.1667595,10.231401,33.78049890425532,29.299340398305088
IEX,IDEX Corporation,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",2019-08-09,832101.0,1988,14.648264,9.921593,53.80290897321429,24.52907978636364
IFF,International Flavors & Fragrances,reports,Materials,Specialty Chemicals,New York City,1976-03-31,51253.0,1958 (1889),4.960404,53.279053,85.30784769565217,25.06027842
ILMN,Illumina,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",2015-11-19,1110803.0,1998,16.428411,14.434998,33.78049890425532,29.299340398305088
INCY,Incyte,reports,Health Care,Biotechnology,"Wilmington, Delaware",2017-02-28,879169.0,1991,21.428501,14.1476555,33.78049890425532,29.299340398305088
INTC,Intel,reports,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,50863.0,1968,43.634933,30.59251,41.766440325,26.817563048484836
INTU,Intuit,reports,Information Technology,Application Software,"Mountain View, California",2000-12-05,896878.0,1983,18.16266,16.700472,41.766440325,26.817563048484836
IP,International Paper,reports,Materials,Paper Packaging,"Memphis, Tennessee",1957-03-04,51434.0,1898,39.130436,20.199501,85.30784769565217,25.06027842
IPG,Interpublic Group,reports,Communication Services,Advertising,New York City,1992-10-01,51644.0,1961 (1930),44.281895,19.013773,32.21145538636364,25.111647560000005
IPGP,IPG Photonics,reports,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",2018-03-07,1111928.0,1990,307.34042,23.55163,41.766440325,26.817563048484836
IQV,IQVIA,reports,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2017-08-29,1478242.0,1982,0.0,8.425,33.78049890425532,29.299340398305088
IR,Ingersoll Rand,reports,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",2020-03-03,1699150.0,1859,38.379612,33.13889,53.80290897321429,24.52907978636364
IRM,Iron Mountain,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",2009-01-06,1020569.0,1951,25.109156,17.67431,431.98932496153844,27.61742757142857
ISRG,Intuitive Surgical,reports,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02,1035267.0,1995,8.6013565,27.734556,33.78049890425532,29.299340398305088
IT,Gartner,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017-04-05,749251.0,1979,15.085451,7.8084617,41.766440325,26.817563048484836
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",1986-02-28,49826.0,1912,20.354345,13.759127,53.80290897321429,24.52907978636364
IVZ,Invesco,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,914208.0,1935,284.5,10.283133,38.61327658999999,41.974477063333346
J,Jacobs Engineering Group,reports,Industrials,Construction & Engineering,"Dallas, Texas",2007-10-26,52988.0,1947,40.315,8.406413,53.80290897321429,24.52907978636364
JBHT,J. B. Hunt,reports,Industrials,Trucking,"Lowell, Arkansas",2015-07-01,728535.0,1961,65.11741,61.50669,53.80290897321429,24.52907978636364
JKHY,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",2018-11-13,779152.0,1976,37.185837,25.573277,41.766440325,26.817563048484836
JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,200406.0,1886,79.479034,19.485981,33.78049890425532,29.299340398305088
JNPR,Juniper Networks,reports,Information Technology,Communications Equipment,"Sunnyvale, California",2006-06-02,1043604.0,1996,19.081776,12.858333,41.766440325,26.817563048484836
JPM,JPMorgan Chase,reports,Financials,Diversified Banks,New York City,1975-06-30,19617.0,2000 (1799 / 1871),17.93647,13.152364,38.61327658999999,41.974477063333346
K,Kellogg's,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",1989-09-11,55067.0,1906,60.168777,12.936498,61.171659148148166,25.609259525806454
KEY,KeyCorp,reports,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,91576.0,1825,110.72879,50.246456,38.61327658999999,41.974477063333346
KEYS,Keysight Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,1601046.0,2014,9.435595,16.596619,41.766440325,26.817563048484836
KHC,Kraft Heinz,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,1637459.0,2015 (1869),42.763245,38.19013,61.171659148148166,25.609259525806454
KIM,Kimco Realty,reports,Real Estate,Retail REITs,"New Hyde Park, New York",2006-04-04,879101.0,1958,78.806526,42.18651,431.98932496153844,27.61742757142857
KLAC,KLA Corporation,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201.0,1975/1977 (1997),26.273998,18.17505,41.766440325,26.817563048484836
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",1957-03-04,55785.0,1872,30.719755,22.104681,61.171659148148166,25.609259525806454
KMI,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1506307.0,1997,51.890278,33.343803,44.778136842105255,36.566831875
KMX,CarMax,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",2010-06-28,1170010.0,1993,31.44156,25.012766,55.29790544230769,25.943469838983052
KO,Coca-Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1957-03-04,21344.0,1886,46.403507,25.432693,61.171659148148166,25.609259525806454
KR,Kroger,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957-03-04,56873.0,1883,12.366338,14.103574,61.171659148148166,25.609259525806454
KSU,Kansas City Southern,reports,Industrials,Railroads,"Kansas City, Missouri",2013-05-24,54480.0,1887,14.738864,9.300485,53.80290897321429,24.52907978636364
L,Loews Corporation,reports,Financials,Multi-line Insurance,New York City,,60086.0,1959,0.0,,38.61327658999999,41.974477063333346
LB,L Brands,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",1983-09-30,701985.0,1963,41.047176,29.264772,55.29790544230769,25.943469838983052
LDOS,Leidos,reports,Industrials,Diversified Support Services,"Reston, Virginia",2019-08-09,1336920.0,1969,13.7409315,14.575586,53.80290897321429,24.52907978636364
LEG,Leggett & Platt,reports,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,58492.0,1883,24.493141,17.062849,55.29790544230769,25.943469838983052
LEN,Lennar,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",2005-10-04,920760.0,1954,0.0,10.350491,55.29790544230769,25.943469838983052
LH,LabCorp,reports,Health Care,Health Care Services,"Burlington, North Carolina",2004-11-01,920148.0,1978,21.96996,12.601695,33.78049890425532,29.299340398305088
LHX,L3Harris Technologies,reports,Industrials,Aerospace & Defense,"Melbourne, Florida",2008-09-22,202058.0,2019 (1895),26.512093,18.31448,53.80290897321429,24.52907978636364
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",2016-05-23,1065696.0,1998,34.89127,18.169025,55.29790544230769,25.943469838983052
LLY,Eli Lilly & Co,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,59478.0,1876,29.02458,20.088121,33.78049890425532,29.299340398305088
LMT,Lockheed Martin,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",1984-07-31,936468.0,1995,18.193497,16.128115,53.80290897321429,24.52907978636364
LNC,Lincoln National,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1976-06-30,59558.0,1905,14.830561,13.994185,38.61327658999999,41.974477063333346
LNT,Alliant Energy,reports,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,352541.0,1917,65.1416,41.532795,38.843115039999994,21.74133126923077
LOW,Lowe's,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,60667.0,1904/1946/1959,72.8982,37.115852,55.29790544230769,25.943469838983052
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",2012-06-29,707549.0,1980,0.0,,41.766440325,26.817563048484836
LUMN,Lumen Technologies,reports,Communication Services,Alternative Carriers,"Monroe, Louisiana",1999-03-25,18926.0,1983 (1877),39.153004,26.29358,32.21145538636364,25.111647560000005
LUV,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",1994-07-01,92380.0,1967,26.887072,13.403703,53.80290897321429,24.52907978636364
LVS,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2019-10-03,1300514.0,1988,19.30991,13.10611,55.29790544230769,25.943469838983052
LW,Lamb Weston,reports,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2018-12-03,1679273.0,2016 (1950),9.036554,6.4294353,61.171659148148166,25.609259525806454
LYB,LyondellBasell,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2012-09-05,1489393.0,2007,0.0,12.115464,85.30784769565217,25.06027842
LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,"Beverly Hills, California",2019-12-23,1335258.0,2010,39.307014,35.21628,32.21145538636364,25.111647560000005
MA,Mastercard,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",2008-07-18,1141391.0,1966,0.0,,41.766440325,26.817563048484836
MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,"Memphis, Tennessee",2016-12-02,912595.0,1977,35.46069,26.721565,431.98932496153844,27.61742757142857
MAR,Marriott International,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286.0,1927,36.1346,18.527195,55.29790544230769,25.943469838983052
MAS,Masco,reports,Industrials,Building Products,"Livonia, Michigan",1981-06-30,62996.0,1929,38.977375,26.628181,53.80290897321429,24.52907978636364
MCD,McDonald's,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970-06-30,63908.0,1940,40.08241,27.63073,55.29790544230769,25.943469838983052
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,827054.0,1989,56.11111,51.23188,41.766440325,26.817563048484836
MCK,McKesson Corporation,reports,Health Care,Health Care Distributors,"Irving, Texas",,927653.0,1833,0.0,42.234432,33.78049890425532,29.299340398305088
MCO,Moody's Corporation,reports,Financials,Financial Exchanges & Data,New York City,,1059556.0,1909,19.57205,14.782828,38.61327658999999,41.974477063333346
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012-10-02,1103982.0,2012,20.49872,18.915344,61.171659148148166,25.609259525806454
MET,MetLife,reports,Financials,Life & Health Insurance,New York City,,1099219.0,1868,0.0,16.825808,38.61327658999999,41.974477063333346
MGM,MGM Resorts International,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017-07-26,789570.0,1986,50.995655,29.87205,55.29790544230769,25.943469838983052
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",2013-12-23,851968.0,1878,239.53609,37.890507,55.29790544230769,25.943469838983052
MKC,McCormick & Company,reports,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",,63754.0,1889,29.637651,23.48515,61.171659148148166,25.609259525806454
MKTX,MarketAxess,reports,Financials,Financial Exchanges & Data,New York City,2019-07-01,1278021.0,2000,25.178085,13.371051,38.61327658999999,41.974477063333346
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,916076.0,1993,28.606184,20.316175,85.30784769565217,25.06027842
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,New York City,1987-08-31,62709.0,1905,0.0,20.814348,38.61327658999999,41.974477063333346
MMM,3M,reports,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1976-08-09,66740.0,1902,29.648335,13.99149,53.80290897321429,24.52907978636364
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",2012-06-28,865752.0,2012 (1935),0.0,24.954039,61.171659148148166,25.609259525806454
MO,Altria Group,reports,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180.0,1985,0.0,36.51992,61.171659148148166,25.609259525806454
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011-09-26,1285785.0,2004 (1865 / 1909),17.297281,15.4943075,85.30784769565217,25.06027842
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,1510295.0,2009 (1887),41.627907,30.442177,44.778136842105255,36.566831875
MPWR,Monolithic Power Systems,reports,Information Technology,Semiconductors,"Kirkland, Washington",2021-02-12,1280452.0,1997,15.354073,13.638709,41.766440325,26.817563048484836
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,310158.0,1891,21.376472,17.347897,33.78049890425532,29.299340398305088
MRO,Marathon Oil,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1991-05-01,101778.0,1887,0.0,-292.5714,44.778136842105255,36.566831875
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,New York City,,895421.0,1935,26.568487,14.812877,38.61327658999999,41.974477063333346
MSCI,MSCI,reports,Financials,Financial Exchanges & Data,New York City,2018-04-04,1408198.0,1969,62.666668,39.478336,38.61327658999999,41.974477063333346
MSFT,Microsoft,reports,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,789019.0,1975,30.567867,19.444933,41.766440325,26.817563048484836
MSI,Motorola Solutions,reports,Information Technology,Communications Equipment,"Chicago, Illinois",,68505.0,1928 (2011),32.32702,20.093515,41.766440325,26.817563048484836
MTB,M&T Bank,reports,Financials,Regional Banks,"Buffalo, New York",2004-02-23,36270.0,1856,38.107243,17.322916,38.61327658999999,41.974477063333346
MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016-09-06,1037646.0,1945,20.882818,18.31485,33.78049890425532,29.299340398305088
MU,Micron Technology,reports,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,723125.0,1978,21.565449,29.735773,41.766440325,26.817563048484836
MXIM,Maxim Integrated,reports,Information Technology,Semiconductors,"San Jose, California",2018-12-03,743316.0,1983,36.114956,18.047873,41.766440325,26.817563048484836
NCLH,Norwegian Cruise Line Holdings,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2017-10-13,1513761.0,2011 (1966),24.151377,14.727273,55.29790544230769,25.943469838983052
NDAQ,Nasdaq,reports,Financials,Financial Exchanges & Data,New York City,2008-10-22,1120193.0,1971,49.885418,29.353819,38.61327658999999,41.974477063333346
NEE,NextEra Energy,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",1976-06-30,753308.0,1984 (1925),40.66255,25.767178,38.843115039999994,21.74133126923077
NEM,Newmont,reports,Materials,Gold,"Denver, Colorado",1969-06-30,1164727.0,1921,27.80395,22.503424,85.30784769565217,25.06027842
NFLX,Netflix,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1065280.0,1997,32.45956,21.82831,32.21145538636364,25.111647560000005
NI,NiSource,reports,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711.0,1912,34.481014,24.777777,38.843115039999994,21.74133126923077
