Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,TPE,FPE,LS_AVG_TPE,LS_AVG_FPE
PEG,Public Service Enterprise Group,reports,Utilities,Electric Utilities,"Newark, New Jersey",1957-03-04,788784.0,1903,107.98548,60.329533,38.843115039999994,21.74133126923077
PENN,Penn National Gaming,reports,Consumer Discretionary,Casinos & Gaming,"Wyomissing, Pennsylvania",2021-03-22,921738.0,1972,45.4547,29.473913,55.29790544230769,25.943469838983052
PEP,PepsiCo,reports,Consumer Staples,Soft Drinks,"Purchase, New York",1957-03-04,77476.0,1898,51.053436,34.924282,61.171659148148166,25.609259525806454
PFE,Pfizer,reports,Health Care,Pharmaceuticals,New York City,1957-03-04,78003.0,1849,37.770782,33.19926,33.78049890425532,29.299340398305088
PFG,Principal Financial Group,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",2002-07-22,1126328.0,1879,29.168358,7.3743587,38.61327658999999,41.974477063333346
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",1957-03-04,80424.0,1837,70.230644,31.085693,61.171659148148166,25.609259525806454
PGR,Progressive Corporation,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",1997-08-04,80661.0,1937,42.8262,36.581497,38.61327658999999,41.974477063333346
PH,Parker-Hannifin,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",1985-11-30,76334.0,1917,55.296803,58.361443,53.80290897321429,24.52907978636364
PHM,PulteGroup,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",1984-04-30,822416.0,1956,47.925716,30.060934,55.29790544230769,25.943469838983052
PKG,Packaging Corporation of America,reports,Materials,Paper Packaging,"Lake Forest, Illinois",2017-07-26,75677.0,1959,736.40356,79.048965,85.30784769565217,25.06027842
PKI,PerkinElmer,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",1985-05-31,31791.0,1937,51.930843,42.71062,33.78049890425532,29.299340398305088
PLD,Prologis,reports,Real Estate,Industrial REITs,"San Francisco, California",2003-07-17,1045609.0,1983,33.678658,27.64567,431.98932496153844,27.61742757142857
PM,Philip Morris International,reports,Consumer Staples,Tobacco,New York City,2008-03-31,1413329.0,2008 (1847),12.906078,10.200873,61.171659148148166,25.609259525806454
PNC,PNC Financial Services,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",1988-04-30,713676.0,1845,49.53696,33.994297,38.61327658999999,41.974477063333346
PNW,Pinnacle West Capital,reports,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622.0,1985,32.354595,19.00165,38.843115039999994,21.74133126923077
POOL,Pool Corporation,reports,Consumer Discretionary,Distributors,"Covington, Louisiana",2020-10-07,945841.0,1993,23.526262,11.671369,55.29790544230769,25.943469838983052
PPG,PPG Industries,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",1957-03-04,79879.0,1883,63.99277,46.781742,85.30784769565217,25.06027842
PPL,PPL,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224.0,1920,41.305454,37.034092,38.843115039999994,21.74133126923077
PRU,Prudential Financial,reports,Financials,Life & Health Insurance,"Newark, New Jersey",2002-07-22,1137774.0,1875,39.69451,23.828081,38.61327658999999,41.974477063333346
PSA,Public Storage,reports,Real Estate,Specialized REITs,"Glendale, California",2005-08-19,1393311.0,1972,89.257866,20.237486,431.98932496153844,27.61742757142857
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",2012-05-01,1534701.0,2012 (1917),61.548553,7.886771,44.778136842105255,36.566831875
PTC,PTC,reports,Information Technology,Application Software,"Boston, Massachusetts",2021-04-20,857005.0,1985,66.794754,44.6743,41.766440325,26.817563048484836
PVH,PVH,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York City,2013-02-15,78239.0,1881,32.46797,27.05056,55.29790544230769,25.943469838983052
PWR,Quanta Services,reports,Industrials,Construction & Engineering,"Houston, Texas",2009-07-01,1050915.0,1997,43.617485,32.448822,53.80290897321429,24.52907978636364
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",2008-09-24,1038357.0,1997,12.680656,12.364332,44.778136842105255,36.566831875
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",2015-07-20,1633917.0,1998,28.97168,24.40051,41.766440325,26.817563048484836
QCOM,Qualcomm,reports,Information Technology,Semiconductors,"San Diego, California",,804328.0,1985,49.928036,42.41339,41.766440325,26.817563048484836
QRVO,Qorvo,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",2015-06-11,1604778.0,2015,28.10912,18.314789,41.766440325,26.817563048484836
RCL,Royal Caribbean Group,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",2014-12-05,884887.0,1997,25.170279,15.941177,55.29790544230769,25.943469838983052
REG,Regency Centers,reports,Real Estate,Retail REITs,"Jacksonville, Florida",2017-03-02,910606.0,1963,150.70683,68.35337,431.98932496153844,27.61742757142857
REGN,Regeneron Pharmaceuticals,reports,Health Care,Biotechnology,"Tarrytown, New York",2013-05-01,872589.0,1988,38.373287,34.906544,33.78049890425532,29.299340398305088
RF,Regions Financial Corporation,reports,Financials,Regional Banks,"Birmingham, Alabama",1998-08-28,1281761.0,1971,19.138462,17.007812,38.61327658999999,41.974477063333346
RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",2000-12-05,315213.0,1948,95.67967,46.95186,53.80290897321429,24.52907978636364
RJF,Raymond James Financial,reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",2017-03-20,720005.0,1962,29.851301,21.945341,38.61327658999999,41.974477063333346
RL,Ralph Lauren Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",New York City,2007-02-02,1037038.0,1967,44.863834,16.111149,55.29790544230769,25.943469838983052
RMD,ResMed,reports,Health Care,Health Care Equipment,"San Diego, California",2017-07-26,943819.0,1989,24.272665,15.735764,33.78049890425532,29.299340398305088
ROK,Rockwell Automation,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478.0,1903,0.0,,53.80290897321429,24.52907978636364
ROL,Rollins,reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",2018-10-01,84839.0,1948,112.306206,16.964285,53.80290897321429,24.52907978636364
ROP,Roper Technologies,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",2009-12-23,882835.0,1981,28.018848,7.4329243,53.80290897321429,24.52907978636364
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Dublin, California",2009-12-21,745732.0,1982,37.978333,33.335526,55.29790544230769,25.943469838983052
RSG,Republic Services,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",2008-12-05,1060391.0,1998 (1981),34.64039,29.122093,53.80290897321429,24.52907978636364
RTX,Raytheon Technologies,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,101829.0,1922,28.815605,17.071428,53.80290897321429,24.52907978636364
SBAC,SBA Communications,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",2017-09-01,1034054.0,1989,22.064903,15.698529,431.98932496153844,27.61742757142857
SBUX,Starbucks,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224.0,1971,18.043074,14.023088,55.29790544230769,25.943469838983052
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,316709.0,1971,20.312054,9.823112,38.61327658999999,41.974477063333346
SEE,Sealed Air,reports,Materials,Paper Packaging,"Charlotte, North Carolina",1957-03-04,1012100.0,1960,34.38623,16.40843,85.30784769565217,25.06027842
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,89800.0,1866,0.0,0.0,85.30784769565217,25.06027842
SIVB,SVB Financial,reports,Financials,Regional Banks,"Santa Clara, California",2018-03-19,719739.0,1983,0.0,11.379311,38.61327658999999,41.974477063333346
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008-11-06,91419.0,1897,49.862873,32.34056,61.171659148148166,25.609259525806454
SLB,Schlumberger,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",1965-03-31,87347.0,1926,57.832157,36.140938,44.778136842105255,36.566831875
SNA,Snap-on,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1982-09-30,91440.0,1920,30.783361,27.263239,53.80290897321429,24.52907978636364
SNPS,Synopsys,reports,Information Technology,Application Software,"Mountain View, California",2017-03-16,883241.0,1986,45.919003,22.367222,41.766440325,26.817563048484836
SO,Southern Company,reports,Utilities,Electric Utilities,"Atlanta, Georgia",1957-03-04,92122.0,1945,0.0,24.764046,38.843115039999994,21.74133126923077
SPG,Simon Property Group,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,1063761.0,2003,75.959595,37.208336,431.98932496153844,27.61742757142857
SPGI,S&P Global,reports,Financials,Financial Exchanges & Data,New York City,,64040.0,1917,38.866447,22.893333,38.61327658999999,41.974477063333346
SRE,Sempra Energy,reports,Utilities,Multi-Utilities,"San Diego, California",,1032208.0,1998,41.218266,15.926851,38.843115039999994,21.74133126923077
STT,State Street Corporation,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751.0,1792,8.653178,11.996115,38.61327658999999,41.974477063333346
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",2005-07-01,16918.0,1945,16.975168,14.745098,61.171659148148166,25.609259525806454
SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",1982-09-30,93556.0,1843,18.34521,18.099773,53.80290897321429,24.52907978636364
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",2015-03-12,4127.0,2002,31.88695,12.522307,41.766440325,26.817563048484836
SYF,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,1601712.0,2003,11.91007,12.048871,38.61327658999999,41.974477063333346
SYK,Stryker Corporation,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,310764.0,1941,27.099892,16.653465,33.78049890425532,29.299340398305088
SYY,Sysco,reports,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021.0,1969,27.363264,16.676226,61.171659148148166,25.609259525806454
T,AT&T,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717.0,1983 (1885),19.829578,13.427684,32.21145538636364,25.111647560000005
TAP,Molson Coors Beverage Company,reports,Consumer Staples,Brewers,"Chicago, Illinois",1976-06-30,24545.0,"2005 (Molson 1786, Coors 1873)",30.441263,20.423685,61.171659148148166,25.609259525806454
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,1260221.0,1993,71.47515,41.34431,53.80290897321429,24.52907978636364
TDY,Teledyne Technologies,reports,Industrials,Aerospace & Defense,"Thousand Oaks, California",2020-06-22,1094285.0,1960,24.04609,11.614964,53.80290897321429,24.52907978636364
TER,Teradyne,reports,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",2020-09-21,97210.0,1960,17.963366,15.595687,41.766440325,26.817563048484836
TFC,Truist Financial,reports,Financials,Regional Banks,"Charlotte, North Carolina",1997-12-04,92230.0,1872,0.0,989.0,38.61327658999999,41.974477063333346
TFX,Teleflex,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2019-01-18,96943.0,1943,25.41146,11.6031475,33.78049890425532,29.299340398305088
TGT,Target Corporation,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976-12-31,27419.0,1902,34.34657,27.012512,55.29790544230769,25.943469838983052
TJX,TJX Companies,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30,109198.0,1987,37.13412,21.039604,55.29790544230769,25.943469838983052
TMO,Thermo Fisher Scientific,reports,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2004-08-03,97745.0,2006 (1902),27.885204,22.90919,33.78049890425532,29.299340398305088
TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699.0,1994,33.794315,28.630363,32.21145538636364,25.111647560000005
TPR,Tapestry,reports,Consumer Discretionary,"Apparel, accessories & Luxury Goods",New York City,,1116132.0,2017,20.029808,16.623697,55.29790544230769,25.943469838983052
TRMB,Trimble,reports,Information Technology,Electronic Equipment & Instruments,"Sunnyvale, California",2021-01-21,864749.0,1978,20.02251,20.33143,41.766440325,26.817563048484836
TROW,T. Rowe Price,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169.0,1937,55.86392,36.777996,38.61327658999999,41.974477063333346
TRV,The Travelers Companies,reports,Financials,Property & Casualty Insurance,New York City,2002-08-21,86312.0,1853,64.712296,51.082417,38.61327658999999,41.974477063333346
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014-01-24,916365.0,1938,35.891933,26.418648,55.29790544230769,25.943469838983052
TSLA,Tesla,reports,Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California",2020-12-21,1318605.0,2003,34.08855,19.161434,55.29790544230769,25.943469838983052
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493.0,1935,49.942924,90.206184,61.171659148148166,25.609259525806454
TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,New York City,2018-03-19,946581.0,1993,0.0,34.65244,32.21145538636364,25.111647560000005
TWTR,Twitter,reports,Communication Services,Interactive Media & Services,"San Francisco, California",2018-06-07,1418091.0,2006,36.373104,26.274391,32.21145538636364,25.111647560000005
TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476.0,1930,29.503256,10.120111,41.766440325,26.817563048484836
TXT,Textron,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,217346.0,1923,14.6995,7.6048746,53.80290897321429,24.52907978636364
TYL,Tyler Technologies,reports,Information Technology,Application Software,"Plano, Texas",2020-06-22,860731.0,1966,75.17674,43.953335,41.766440325,26.817563048484836
UA,Under Armour (Class C),reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2016-04-08,1336917.0,1996,266.91095,92.854935,55.29790544230769,25.943469838983052
UAA,Under Armour (Class A),reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",2014-05-01,1336917.0,1996,0.0,93.49999,55.29790544230769,25.943469838983052
UAL,United Airlines,reports,Industrials,Airlines,"Chicago, Illinois",2015-09-03,100517.0,1967,100.9539,94.99398,53.80290897321429,24.52907978636364
UDR,UDR,reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016-03-07,74208.0,1972,79.53193,69.926926,431.98932496153844,27.61742757142857
UHS,Universal Health Services,reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",2014-09-20,352915.0,1979,9.0580015,41.95098,33.78049890425532,29.299340398305088
ULTA,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016-04-18,1403568.0,1990,0.0,95.55102,55.29790544230769,25.943469838983052
UNH,UnitedHealth Group,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",1994-07-01,731766.0,1977,69.74931,59.15654,33.78049890425532,29.299340398305088
UNM,Unum Group,reports,Financials,Life & Health Insurance,"Chattanooga, Tennessee",1994-03-01,5513.0,1999,73.74074,70.686386,38.61327658999999,41.974477063333346
UNP,Union Pacific,reports,Industrials,Railroads,"Omaha, Nebraska",1957-03-04,100885.0,1862,40.450974,39.2053,53.80290897321429,24.52907978636364
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",2002-07-22,1090727.0,1907,37.553745,31.224758,53.80290897321429,24.52907978636364
URI,United Rentals,reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",2014-09-20,1067701.0,1997,39.364395,38.673332,53.80290897321429,24.52907978636364
USB,U.S. Bancorp,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104.0,1968,33.088184,57.884148,38.61327658999999,41.974477063333346
V,Visa,reports,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",2009-12-21,1403161.0,1958,50.035503,75.55478,41.766440325,26.817563048484836
VFC,VF Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",1979-06-30,103379.0,1899,34.271378,19.670507,55.29790544230769,25.943469838983052
VIAC,ViacomCBS,reports,Communication Services,Movies & Entertainment,New York City,,813828.0,2019 (1952),96.40572,64.321655,32.21145538636364,25.111647560000005
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002.0,1980,264.84695,346.06665,44.778136842105255,36.566831875
VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",1999-06-30,1396009.0,1909,10.135434,15.653349,85.30784769565217,25.06027842
VNO,Vornado Realty Trust,reports,Real Estate,Office REITs,New York City,,899689.0,1982,23.287981,21.545454,431.98932496153844,27.61742757142857
VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",2015-10-08,1442145.0,1971,52.050884,66.833336,53.80290897321429,24.52907978636364
VRSN,Verisign,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",2006-02-01,1014473.0,1995,46.619465,38.709156,41.766440325,26.817563048484836
VRTX,Vertex Pharmaceuticals,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",2013-09-23,875320.0,1989,181.22475,90.93172,33.78049890425532,29.299340398305088
VTR,Ventas,reports,Real Estate,Health Care REITs,"Chicago, Illinois",2009-03-04,740260.0,1998,46.243652,92.1236,431.98932496153844,27.61742757142857
VTRS,Viatris,reports,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",2004-04-23,1792044.0,1961,39.061516,69.62928,33.78049890425532,29.299340398305088
VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,New York City,1983-11-30,732712.0,1983 (1877),0.0,,32.21145538636364,25.111647560000005
WAB,Wabtec,reports,Industrials,Construction Machinery & Heavy Trucks,"Pittsburgh, Pennsylvania",2019-02-27,943452.0,1999 (1869),0.0,16.44186,53.80290897321429,24.52907978636364
WAT,Waters Corporation,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697.0,1958,23.164764,20.729927,33.78049890425532,29.299340398305088
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",1979-12-31,1618921.0,2014,23.408073,21.40694,61.171659148148166,25.609259525806454
WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2009-07-01,106040.0,1970,18.966154,17.61143,41.766440325,26.817563048484836
WEC,WEC Energy Group,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",2008-10-31,783325.0,1896,40.62162,14.881188,38.843115039999994,21.74133126923077
WELL,Welltower,reports,Real Estate,Health Care REITs,"Toledo, Ohio",2009-01-30,766704.0,1970,17.95557,18.343172,431.98932496153844,27.61742757142857
WFC,Wells Fargo,reports,Financials,Diversified Banks,"San Francisco, California",1976-06-30,72971.0,1852,16.095745,17.29143,38.61327658999999,41.974477063333346
WHR,Whirlpool Corporation,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640.0,1911,19.392012,17.370872,55.29790544230769,25.943469838983052
WM,Waste Management,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768.0,1968,15.769126,15.984159,53.80290897321429,24.52907978636364
WMB,Williams Companies,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",1975-03-31,107263.0,1908,20.063227,19.702616,44.778136842105255,36.566831875
WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",1982-08-31,104169.0,1962,58.917976,18.583487,61.171659148148166,25.609259525806454
WRB,W. R. Berkley Corporation,reports,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",2019-12-05,11544.0,1967,0.0,15.407186,38.61327658999999,41.974477063333346
WRK,WestRock,reports,Materials,Paper Packaging,"Atlanta, Georgia",,1732845.0,2015,32.872,7.035959,85.30784769565217,25.06027842
WST,West Pharmaceutical Services,reports,Health Care,Health Care Supplies,"Exton, Pennsylvania",2020-05-22,105770.0,1923,12.889949,16.304762,33.78049890425532,29.299340398305088
WU,Western Union,reports,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",2006-09-29,1365135.0,1851,21.575687,16.21286,41.766440325,26.817563048484836
WY,Weyerhaeuser,reports,Real Estate,Specialized REITs,"Federal Way, Washington",,106535.0,1900,26.686718,12.218221,431.98932496153844,27.61742757142857
WYNN,Wynn Resorts,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2008-11-14,1174922.0,2002,18.669584,17.167002,55.29790544230769,25.943469838983052
XEL,Xcel Energy,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",1957-03-04,72903.0,1909,22.832964,20.119804,38.843115039999994,21.74133126923077
XLNX,Xilinx,reports,Information Technology,Semiconductors,"San Jose, California",1999-11-08,743988.0,1984,65.75718,17.861702,41.766440325,26.817563048484836
XOM,ExxonMobil,reports,Energy,Integrated Oil & Gas,"Irving, Texas",1957-03-04,34088.0,1999,28.467464,18.898804,44.778136842105255,36.566831875
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"Charlotte, North Carolina",2008-11-14,818479.0,2016 (1969),23.038607,20.108696,33.78049890425532,29.299340398305088
XYL,Xylem,reports,Industrials,Industrial Machinery,"White Plains, New York",2011-11-01,1524472.0,2011,21.678888,20.487623,53.80290897321429,24.52907978636364
YUM,Yum! Brands,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",1997-10-06,1041061.0,1997,0.0,17.224138,55.29790544230769,25.943469838983052
ZBH,Zimmer Biomet,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",2001-08-07,1136869.0,1927,35.57346,27.494505,33.78049890425532,29.299340398305088
ZBRA,Zebra Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",2019-12-23,877212.0,1969,17.021147,16.34961,41.766440325,26.817563048484836
ZION,Zions Bancorp,reports,Financials,Regional Banks,"Salt Lake City, Utah",2001-06-22,109380.0,1873,41.0763,35.26681,38.61327658999999,41.974477063333346
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Parsippany, New Jersey",2013-06-21,1555280.0,1952,15.11953,14.351923,33.78049890425532,29.299340398305088
